runtime,solution cost,instance name
0.005,463,./instances/empty-16-16/empty-16-16-random-40-agents-30.scen
0.004,438,./instances/empty-16-16/empty-16-16-random-40-agents-31.scen
0.036,440,./instances/empty-16-16/empty-16-16-random-40-agents-32.scen
0.008,486,./instances/empty-16-16/empty-16-16-random-40-agents-33.scen
0.005,432,./instances/empty-16-16/empty-16-16-random-40-agents-34.scen
0.014,463,./instances/empty-16-16/empty-16-16-random-40-agents-35.scen
0.01,449,./instances/empty-16-16/empty-16-16-random-40-agents-36.scen
0.006,440,./instances/empty-16-16/empty-16-16-random-40-agents-37.scen
0.021,516,./instances/empty-16-16/empty-16-16-random-40-agents-38.scen
0.015,467,./instances/empty-16-16/empty-16-16-random-40-agents-39.scen
0.032,518,./instances/empty-16-16/empty-16-16-random-40-agents-40.scen
0.005,446,./instances/empty-16-16/empty-16-16-random-40-agents-41.scen
0.013,463,./instances/empty-16-16/empty-16-16-random-40-agents-42.scen
0.007,467,./instances/empty-16-16/empty-16-16-random-40-agents-43.scen
0.006,491,./instances/empty-16-16/empty-16-16-random-40-agents-44.scen
0.011,449,./instances/empty-16-16/empty-16-16-random-40-agents-45.scen
0.004,450,./instances/empty-16-16/empty-16-16-random-40-agents-46.scen
0.01,443,./instances/empty-16-16/empty-16-16-random-40-agents-47.scen
0.008,455,./instances/empty-16-16/empty-16-16-random-40-agents-48.scen
0.006,455,./instances/empty-16-16/empty-16-16-random-40-agents-49.scen
0.005,449,./instances/empty-16-16/empty-16-16-random-40-agents-50.scen
0.008,430,./instances/empty-16-16/empty-16-16-random-40-agents-51.scen
0.011,472,./instances/empty-16-16/empty-16-16-random-40-agents-52.scen
0.006,482,./instances/empty-16-16/empty-16-16-random-40-agents-53.scen
0.007,484,./instances/empty-16-16/empty-16-16-random-40-agents-54.scen
0.01,439,./instances/empty-16-16/empty-16-16-random-40-agents-55.scen
0.016,432,./instances/empty-16-16/empty-16-16-random-40-agents-56.scen
0.02,439,./instances/empty-16-16/empty-16-16-random-40-agents-57.scen
0.025,454,./instances/empty-16-16/empty-16-16-random-40-agents-58.scen
0.008,416,./instances/empty-16-16/empty-16-16-random-40-agents-59.scen
0.011,455,./instances/empty-16-16/empty-16-16-random-40-agents-60.scen
0.007,446,./instances/empty-16-16/empty-16-16-random-40-agents-61.scen
0.014,458,./instances/empty-16-16/empty-16-16-random-40-agents-62.scen
0.009,440,./instances/empty-16-16/empty-16-16-random-40-agents-63.scen
0.01,445,./instances/empty-16-16/empty-16-16-random-40-agents-64.scen
0.011,470,./instances/empty-16-16/empty-16-16-random-40-agents-65.scen
0.011,415,./instances/empty-16-16/empty-16-16-random-40-agents-66.scen
0.008,489,./instances/empty-16-16/empty-16-16-random-40-agents-67.scen
0.012,466,./instances/empty-16-16/empty-16-16-random-40-agents-68.scen
0.661,475,./instances/empty-16-16/empty-16-16-random-40-agents-69.scen
0.009,501,./instances/empty-16-16/empty-16-16-random-40-agents-70.scen
0.013,415,./instances/empty-16-16/empty-16-16-random-40-agents-71.scen
0.011,424,./instances/empty-16-16/empty-16-16-random-40-agents-72.scen
0.006,431,./instances/empty-16-16/empty-16-16-random-40-agents-73.scen
0.01,473,./instances/empty-16-16/empty-16-16-random-40-agents-74.scen
0.009,464,./instances/empty-16-16/empty-16-16-random-40-agents-75.scen
0.007,445,./instances/empty-16-16/empty-16-16-random-40-agents-76.scen
0.009,432,./instances/empty-16-16/empty-16-16-random-40-agents-77.scen
0.008,441,./instances/empty-16-16/empty-16-16-random-40-agents-78.scen
0.048,477,./instances/empty-16-16/empty-16-16-random-40-agents-79.scen
0.017,510,./instances/empty-16-16/empty-16-16-random-40-agents-80.scen
0.018,459,./instances/empty-16-16/empty-16-16-random-40-agents-81.scen
16.808,459,./instances/empty-16-16/empty-16-16-random-40-agents-82.scen
0.007,531,./instances/empty-16-16/empty-16-16-random-40-agents-83.scen
0.01,446,./instances/empty-16-16/empty-16-16-random-40-agents-84.scen
0.014,516,./instances/empty-16-16/empty-16-16-random-40-agents-85.scen
0.016,453,./instances/empty-16-16/empty-16-16-random-40-agents-86.scen
0.016,457,./instances/empty-16-16/empty-16-16-random-40-agents-87.scen
0.008,483,./instances/empty-16-16/empty-16-16-random-40-agents-88.scen
0.006,447,./instances/empty-16-16/empty-16-16-random-40-agents-89.scen
