runtime,solution cost,instance name
0.2,732,instances/empty-16-16/empty-16-16-random-60-agents-65.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-67.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-68.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-69.scen
4.882,656,instances/empty-16-16/empty-16-16-random-60-agents-71.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-72.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-73.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-74.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-75.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-76.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-78.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-79.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-80.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-81.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-82.scen
11.369,770,instances/empty-16-16/empty-16-16-random-60-agents-83.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-84.scen
0.418,741,instances/empty-16-16/empty-16-16-random-60-agents-85.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-86.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-87.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-88.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-89.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-90.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-93.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-94.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-95.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-96.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-97.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-98.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-99.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-100.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-1.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-2.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-3.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-4.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-5.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-6.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-7.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-8.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-9.scen
60.002,-1,instances/empty-16-16/empty-16-16-random-80-agents-10.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-12.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-13.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-14.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-15.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-16.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-17.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-18.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-19.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-20.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-21.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-22.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-23.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-24.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-25.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-26.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-27.scen
60.002,-1,instances/empty-16-16/empty-16-16-random-80-agents-28.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-31.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-32.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-33.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-34.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-35.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-36.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-37.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-38.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-39.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-40.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-42.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-44.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-45.scen
60.005,-1,instances/empty-16-16/empty-16-16-random-80-agents-46.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-47.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-49.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-52.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-53.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-54.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-55.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-56.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-57.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-58.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-59.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-60.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-61.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-62.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-63.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-64.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-65.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-66.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-67.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-68.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-69.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-70.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-71.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-72.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-73.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-74.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-75.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-76.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-78.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-79.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-80.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-81.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-82.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-83.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-84.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-86.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-87.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-88.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-89.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-90.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-91.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-92.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-93.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-94.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-95.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-96.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-97.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-98.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-99.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-100.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-1.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-13.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-38.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-49.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-53.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-66.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-11.scen
60.003,-1,instances/empty-16-16/empty-16-16-random-80-agents-29.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-41.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-43.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-50.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-51.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-85.scen
0.028,466,instances/empty-16-16/empty-16-16-random-40-agents-75.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-40-agents-80.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-20.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-60-agents-77.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-30.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-80-agents-77.scen
