runtime,solution cost,instance name
0.001,222,instances/empty-16-16/empty-16-16-random-20-agents-86.scen
0.001,252,instances/empty-16-16/empty-16-16-random-20-agents-87.scen
0.001,235,instances/empty-16-16/empty-16-16-random-20-agents-88.scen
0.001,228,instances/empty-16-16/empty-16-16-random-20-agents-89.scen
0.002,258,instances/empty-16-16/empty-16-16-random-20-agents-90.scen
0.002,224,instances/empty-16-16/empty-16-16-random-20-agents-91.scen
0.002,243,instances/empty-16-16/empty-16-16-random-20-agents-92.scen
0.001,226,instances/empty-16-16/empty-16-16-random-20-agents-93.scen
0,272,instances/empty-16-16/empty-16-16-random-20-agents-94.scen
0.001,246,instances/empty-16-16/empty-16-16-random-20-agents-95.scen
0.001,207,instances/empty-16-16/empty-16-16-random-20-agents-96.scen
0,237,instances/empty-16-16/empty-16-16-random-20-agents-97.scen
0.001,244,instances/empty-16-16/empty-16-16-random-20-agents-98.scen
0.002,228,instances/empty-16-16/empty-16-16-random-20-agents-99.scen
0.001,214,instances/empty-16-16/empty-16-16-random-20-agents-100.scen
0.004,407,instances/empty-16-16/empty-16-16-random-40-agents-1.scen
0.004,485,instances/empty-16-16/empty-16-16-random-40-agents-2.scen
0.005,456,instances/empty-16-16/empty-16-16-random-40-agents-3.scen
0.004,476,instances/empty-16-16/empty-16-16-random-40-agents-4.scen
0.006,516,instances/empty-16-16/empty-16-16-random-40-agents-5.scen
0.013,470,instances/empty-16-16/empty-16-16-random-40-agents-6.scen
0.004,424,instances/empty-16-16/empty-16-16-random-40-agents-7.scen
0.007,429,instances/empty-16-16/empty-16-16-random-40-agents-8.scen
0.005,440,instances/empty-16-16/empty-16-16-random-40-agents-9.scen
0.005,457,instances/empty-16-16/empty-16-16-random-40-agents-10.scen
0.006,453,instances/empty-16-16/empty-16-16-random-40-agents-11.scen
0.007,496,instances/empty-16-16/empty-16-16-random-40-agents-12.scen
0.005,474,instances/empty-16-16/empty-16-16-random-40-agents-13.scen
0.009,440,instances/empty-16-16/empty-16-16-random-40-agents-14.scen
0.006,474,instances/empty-16-16/empty-16-16-random-40-agents-15.scen
0.004,480,instances/empty-16-16/empty-16-16-random-40-agents-16.scen
0.006,495,instances/empty-16-16/empty-16-16-random-40-agents-17.scen
0.005,419,instances/empty-16-16/empty-16-16-random-40-agents-18.scen
0.008,516,instances/empty-16-16/empty-16-16-random-40-agents-19.scen
0.007,466,instances/empty-16-16/empty-16-16-random-40-agents-20.scen
0.006,465,instances/empty-16-16/empty-16-16-random-40-agents-21.scen
0.003,453,instances/empty-16-16/empty-16-16-random-40-agents-22.scen
0.007,432,instances/empty-16-16/empty-16-16-random-40-agents-23.scen
0.006,466,instances/empty-16-16/empty-16-16-random-40-agents-24.scen
0.007,464,instances/empty-16-16/empty-16-16-random-40-agents-25.scen
0.005,454,instances/empty-16-16/empty-16-16-random-40-agents-26.scen
0.005,432,instances/empty-16-16/empty-16-16-random-40-agents-27.scen
0.007,424,instances/empty-16-16/empty-16-16-random-40-agents-28.scen
0.005,441,instances/empty-16-16/empty-16-16-random-40-agents-29.scen
0.004,466,instances/empty-16-16/empty-16-16-random-40-agents-30.scen
0.003,441,instances/empty-16-16/empty-16-16-random-40-agents-31.scen
0.008,446,instances/empty-16-16/empty-16-16-random-40-agents-32.scen
0.003,491,instances/empty-16-16/empty-16-16-random-40-agents-33.scen
0.002,434,instances/empty-16-16/empty-16-16-random-40-agents-34.scen
0.007,465,instances/empty-16-16/empty-16-16-random-40-agents-35.scen
0.006,452,instances/empty-16-16/empty-16-16-random-40-agents-36.scen
0.004,443,instances/empty-16-16/empty-16-16-random-40-agents-37.scen
0.007,523,instances/empty-16-16/empty-16-16-random-40-agents-38.scen
0.007,470,instances/empty-16-16/empty-16-16-random-40-agents-39.scen
0.009,523,instances/empty-16-16/empty-16-16-random-40-agents-40.scen
0.005,448,instances/empty-16-16/empty-16-16-random-40-agents-41.scen
0.009,468,instances/empty-16-16/empty-16-16-random-40-agents-42.scen
0.005,469,instances/empty-16-16/empty-16-16-random-40-agents-43.scen
0.004,494,instances/empty-16-16/empty-16-16-random-40-agents-44.scen
0.01,463,instances/empty-16-16/empty-16-16-random-40-agents-45.scen
0.004,452,instances/empty-16-16/empty-16-16-random-40-agents-46.scen
