runtime,solution cost,solver name,instance name
0.013,450,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-63.scen
0.014,455,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-64.scen
0.01,475,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-65.scen
0.012,420,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-66.scen
0.01,500,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-67.scen
0.008,483,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-68.scen
0.009,483,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-69.scen
0.01,508,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-70.scen
0.008,436,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-71.scen
0.016,439,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-72.scen
0.01,457,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-73.scen
0.01,477,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-74.scen
0.012,488,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-75.scen
0.009,452,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-76.scen
0.016,444,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-77.scen
0.009,451,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-78.scen
0.013,501,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-79.scen
0.009,528,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-80.scen
0.011,477,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-81.scen
0.008,465,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-82.scen
0.015,537,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-83.scen
0.017,471,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-84.scen
0.014,544,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-85.scen
0.009,477,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-86.scen
0.009,468,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-87.scen
0.013,506,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-88.scen
0.011,463,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-89.scen
0.012,475,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-90.scen
0.007,453,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-91.scen
0.018,495,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-92.scen
0.006,471,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-93.scen
0.009,539,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-94.scen
0.011,495,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-95.scen
0.005,427,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-96.scen
