runtime,solution cost,solver name,instance name
0.008,479,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-4.scen
0.006,521,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-5.scen
0.011,492,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-6.scen
0.007,439,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-7.scen
0.012,436,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-8.scen
0.007,456,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-9.scen
0.009,473,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-10.scen
0.009,467,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-11.scen
0.008,512,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-12.scen
0.007,476,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-13.scen
0.011,449,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-14.scen
0.014,483,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-15.scen
0.008,488,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-16.scen
0.01,502,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-17.scen
0.007,420,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-18.scen
0.007,518,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-19.scen
0.013,485,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-20.scen
0.009,469,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-21.scen
0.007,463,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-22.scen
0.008,445,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-23.scen
0.009,471,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-24.scen
0.009,474,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-25.scen
0.008,463,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-26.scen
0.011,456,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-27.scen
0.008,422,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-28.scen
0.013,441,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-29.scen
0.005,472,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-30.scen
0.006,441,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-31.scen
0.006,450,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-32.scen
0.006,492,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-33.scen
0.012,444,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-34.scen
0.007,484,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-35.scen
0.01,470,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-36.scen
