runtime,solution cost,solver name,instance name
0.002,402,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-1.scen
0.003,488,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-2.scen
0.003,453,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-3.scen
0.003,475,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-4.scen
0.003,518,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-5.scen
0.004,465,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-6.scen
0.003,421,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-7.scen
0.004,424,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-8.scen
0.004,439,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-9.scen
0.006,459,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-10.scen
0.003,450,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-11.scen
0.008,495,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-12.scen
0.012,475,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-13.scen
0.008,444,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-14.scen
0.005,474,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-15.scen
0.004,481,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-16.scen
0.008,502,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-17.scen
0.004,417,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-18.scen
0.004,517,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-19.scen
0.009,468,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-20.scen
0.004,461,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-21.scen
0.003,452,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-22.scen
0.005,432,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-23.scen
0.005,466,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-24.scen
0.007,460,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-25.scen
0.005,453,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-26.scen
0.004,429,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-27.scen
0.006,422,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-28.scen
0.006,443,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-29.scen
0.003,465,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-30.scen
0.003,438,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-31.scen
0.003,443,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-32.scen
0.003,488,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-33.scen
0.003,432,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-34.scen
0.008,470,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-35.scen
0.003,449,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-36.scen
0.004,443,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-37.scen
0.005,520,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-38.scen
0.008,471,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-39.scen
0.005,521,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-40.scen
0.003,450,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-41.scen
0.005,466,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-42.scen
0.004,473,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-43.scen
0.004,497,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-44.scen
0.007,451,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-45.scen
0.005,451,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-46.scen
0.006,447,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-47.scen
0.003,457,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-48.scen
0.004,456,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-49.scen
0.004,450,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-50.scen
0.004,434,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-51.scen
0.005,475,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-52.scen
0.006,485,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-53.scen
0.006,486,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-54.scen
0.004,442,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-55.scen
0.004,436,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-56.scen
0.004,442,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-57.scen
0.004,456,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-58.scen
0.004,418,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-59.scen
0.006,457,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-60.scen
0.007,448,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-61.scen
0.009,459,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-62.scen
0.008,445,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-63.scen
0.012,452,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-64.scen
0.005,473,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-65.scen
0.004,419,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-66.scen
0.005,493,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-67.scen
0.005,468,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-68.scen
0.005,476,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-69.scen
0.004,507,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-70.scen
0.003,416,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-71.scen
0.005,429,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-72.scen
0.004,432,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-73.scen
0.009,475,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-74.scen
0.003,468,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-75.scen
0.005,450,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-76.scen
0.004,435,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-77.scen
0.005,443,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-78.scen
0.004,481,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-79.scen
0.005,511,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-80.scen
0.017,463,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-81.scen
0.006,462,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-82.scen
0.005,536,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-83.scen
0.004,449,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-84.scen
0.006,519,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-85.scen
0.009,455,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-86.scen
0.006,462,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-87.scen
0.005,486,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-88.scen
0.004,448,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-89.scen
0.005,474,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-90.scen
0.003,433,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-91.scen
0.007,462,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-92.scen
0.002,466,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-93.scen
0.004,536,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-94.scen
0.004,477,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-95.scen
0.003,429,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-96.scen
0.003,484,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-97.scen
0.012,501,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-98.scen
0.004,464,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-99.scen
0.003,468,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-100.scen
0.009,653,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-1.scen
0.013,711,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-2.scen
0.007,705,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-3.scen
0.013,723,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-4.scen
0.01,742,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-5.scen
0.016,751,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-6.scen
0.016,655,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-7.scen
0.009,687,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-8.scen
0.009,678,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-9.scen
0.016,707,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-10.scen
0.008,707,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-11.scen
0.014,706,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-12.scen
0.015,744,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-13.scen
0.028,665,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-14.scen
0.013,749,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-15.scen
0.013,680,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-16.scen
0.012,740,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-17.scen
0.008,675,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-18.scen
0.009,727,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-19.scen
0.019,722,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-20.scen
0.011,691,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-21.scen
0.009,691,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-22.scen
0.013,653,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-23.scen
0.015,709,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-24.scen
0.018,707,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-25.scen
0.006,690,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-26.scen
0.014,710,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-27.scen
0.018,694,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-28.scen
0.014,669,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-29.scen
0.009,691,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-30.scen
0.015,686,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-31.scen
0.01,652,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-32.scen
0.01,715,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-33.scen
0.012,657,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-34.scen
0.011,680,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-35.scen
0.01,670,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-36.scen
0.012,655,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-37.scen
0.012,761,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-38.scen
0.023,713,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-39.scen
0.019,785,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-40.scen
0.006,680,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-41.scen
0.012,687,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-42.scen
0.012,718,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-43.scen
0.018,755,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-44.scen
0.017,691,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-45.scen
0.017,673,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-46.scen
0.013,675,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-47.scen
0.014,669,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-48.scen
0.01,659,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-49.scen
0.009,659,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-50.scen
0.008,685,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-51.scen
0.018,728,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-52.scen
0.012,698,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-53.scen
0.019,725,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-54.scen
0.011,697,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-55.scen
0.016,706,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-56.scen
0.008,638,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-57.scen
0.01,675,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-58.scen
0.008,678,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-59.scen
0.012,717,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-60.scen
0.015,713,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-61.scen
0.01,723,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-62.scen
0.02,716,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-63.scen
0.016,689,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-64.scen
0.011,738,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-65.scen
0.011,692,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-66.scen
0.013,735,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-67.scen
0.013,714,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-68.scen
0.017,729,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-69.scen
0.015,748,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-70.scen
0.007,649,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-71.scen
0.01,687,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-72.scen
0.013,694,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-73.scen
0.011,728,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-74.scen
0.016,688,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-75.scen
0.016,684,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-76.scen
0.012,658,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-77.scen
0.011,672,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-78.scen
0.01,708,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-79.scen
